PLAYER_ID,FG_PCT,FG3_PCT
1642260,0.431,0.4
202696,0.493,0.369
1642363,0.418,0.333
1642855,0.0,0.0
1641730,0.396,0.329
1642869,0.404,0.323
1642849,0.38,0.318
1641807,0.7,0.0
1626181,0.47,0.38
1628384,0.484,0.386
1630167,0.503,0.352
1630534,0.436,0.266
1630846,0.714,0.667
1641765,0.549,0.405
1630209,0.423,0.0
1630168,0.48,0.376
1631115,0.6,0.5
1631131,0.634,0.0
1642345,0.653,0.0
1631172,0.422,0.341
1629023,0.45,0.325
1641790,0.508,0.6
1642359,0.333,0.219
1631094,0.459,0.305
1627783,0.484,0.358
1626192,0.447,0.404
1630311,0.427,0.357
1631116,0.407,0.429
1630172,0.372,0.347
202331,0.439,0.392
1630194,0.617,0.325
1630202,0.464,0.377
1642362,0.5,0.412
1641796,0.496,0.323
1631250,0.515,0.42
1631212,0.491,0.411
1630173,0.528,0.278
1629656,0.45,0.334
1631245,0.47,0.356
1642366,0.44,0.336
1629628,0.491,0.339
1642853,0.405,0.346
1642484,0.313,0.311
1641712,0.393,0.324
1642263,0.43,0.394
1642434,0.609,0.333
1642265,0.396,0.316
1629057,0.708,0.391
1642911,0.625,0.0
1631199,0.418,0.35
1641842,0.432,0.253
1626220,0.421,0.408
203497,0.682,0.0
1629060,0.514,0.443
201566,0.427,0.338
1642346,0.453,0.331
1641750,0.753,0.0
1642948,0.415,0.356
1631157,0.472,0.406
1630180,0.451,0.367
1630573,0.419,0.393
1630241,0.461,0.421
1630572,0.523,0.389
1630583,0.479,0.35
1630703,0.418,0.352
1630567,0.507,0.304
1630590,0.448,0.313
1642951,0.333,0.3
203552,0.49,0.48
1631101,0.452,0.337
1628983,0.553,0.386
1630536,0.514,0.382
1631321,0.398,0.298
1631323,0.412,0.375
1642883,0.371,0.352
1627746,0.6,0.2
1642461,0.504,0.396
1630649,0.5,0.0
201939,0.468,0.393
1642264,0.471,0.332
203500,0.504,0.0
1629004,0.478,0.408
204456,0.538,0.32
1643007,0.38,0.328
201959,0.462,0.5
1631106,0.416,0.358
1627752,0.45,0.436
1641707,0.459,0.342
1629611,0.457,0.364
1630545,0.45,0.408
203648,0.469,0.0
1628418,0.506,0.359
1642275,0.503,0.434
203501,0.447,0.407
202699,0.469,0.368
1643253,0.357,0.29
1642449,0.5,0.0
1628396,0.547,0.5
1641787,0.0,0.0
1641739,0.44,0.37
1629027,0.458,0.338
1631218,0.573,1.0
1642848,0.419,0.358
1630200,0.553,0.315
1630544,0.36,0.323
1630570,0.515,0.2
1642280,0.667,0.0
1630286,0.38,0.316
1631211,0.25,0.222
1641725,0.514,0.5
1641998,0.6,0.0
1630530,0.47,0.379
1642400,0.5,0.3
1641774,0.479,0.347
1641783,0.45,0.374
1641803,0.444,0.4
1629660,0.474,0.42
1631102,0.474,0.375
1631174,0.375,0.333
1629639,0.48,0.378
1642278,0.435,0.386
1641890,0.42,0.286
1631213,0.394,0.321
1630178,0.462,0.367
1642878,0.413,0.351
1630623,0.4,0.398
1626145,0.349,0.292
1642845,0.438,0.354
1641705,0.512,0.349
1631246,0.353,0.311
1642884,0.75,0.0
1630249,0.448,0.39
1631117,0.703,0.75
1642383,0.384,0.307
1628976,0.512,0.319
1631111,0.571,0.0
1642954,0.468,0.335
1642860,0.439,0.316
1630214,0.435,0.167
1642905,0.31,0.119
1642949,0.64,0.2
1642530,0.327,0.297
1642274,0.544,0.0
1642258,0.455,0.368
1628380,0.578,0.429
1641744,0.633,0.2
203897,0.479,0.39
1630192,0.47,0.259
1630533,0.425,0.343
1629627,0.6,0.25
1642389,0.692,0.333
